population	region	year	lat	lon
ESkane1917	ESkane	1917	55.923056	14.294167
ESkane1934	ESkane	1934	55.685039	14.226593
ESkane1956	ESkane	1956	55.8379761	14.0901385
ESkane2020	ESkane	2020	55.7223288	14.1880068
ESkane2021	ESkane	2021	55.7760277	14.1722373
ESkane2022	ESkane	2022	55.75511784	14.12518255
NSmaland1935	NSmaland	1935	57.311227	14.513111
NSmaland1936	NSmaland	1936	57.311227	14.513111
NSmaland2021	NSmaland	2021	57.49200554	14.113405
Oland1940	Oland	1940	56.5765675	16.4603599
Oland1947	Oland	1947	56.754733	16.537709
Oland1951	Oland	1951	56.784167	16.739167
Oland2020	Oland	2020	56.55319386	16.63960167
Oland2021	Oland	2021	56.6783102	16.5511386
Oland2022	Oland	2022	56.645423	16.580946
SESkane1951	SESkane	1951	55.39013	14.194121
SESkane2022	SESkane	2022	55.38635184	14.10138273
SWSkane2021	SWSkane	2021	55.402505	12.885261
WSkane1934	WSkane	1934	55.695086	13.4315878
WSkane1943	WSkane	1943	55.676495	13.419156
WSkane1951	WSkane	1951	55.678056	13.421389
WSkane2020	WSkane	2020	55.695086	13.4315878
WSkane2021	WSkane	2021	55.6694611	13.4924355
