sample	population	time	depth
MZLU107454	ESkane2021	modern	high
MZLU107458	ESkane2021	modern	high
MZLU107463	ESkane2021	modern	high
MZLU107466	ESkane2021	modern	high
MZLU107503	ESkane2021	modern	high
MZLU107504	ESkane2021	modern	high
MZLU107506	ESkane2021	modern	high
MZLU107507	ESkane2021	modern	high
MZLU107455	NSmaland2021	modern	high
MZLU107456	NSmaland2021	modern	high
MZLU107461	NSmaland2021	modern	high
MZLU107462	NSmaland2021	modern	high
MZLU107465	NSmaland2021	modern	high
MZLU107501	NSmaland2021	modern	high
CYSE0078	SESkane2022	modern	high
CYSE0094	SESkane2022	modern	high
CYSE0096	SESkane2022	modern	high
CYSE0098	SESkane2022	modern	high
CYSE0116	SESkane2022	modern	high
CYSE0198	SESkane2022	modern	high
CYSE0199	SESkane2022	modern	high
MZLU107457	WSkane2021	modern	high
MZLU107460	WSkane2021	modern	high
MZLU107464	WSkane2021	modern	high
MZLU107497	WSkane2021	modern	high
MZLU107498	WSkane2021	modern	high
MZLU107499	WSkane2021	modern	high
MZLU107500	WSkane2021	modern	high
MZLU107505	WSkane2021	modern	high
