sample	population	time	depth
PLAR0200	ESkane2022	modern	high
PLAR0202	ESkane2022	modern	high
PLAR0203	ESkane2022	modern	high
PLAR0208	ESkane2022	modern	high
PLAR0211	ESkane2022	modern	high
PLAR0217	ESkane2022	modern	high
PLAR0222	ESkane2022	modern	high
PLAR0226	ESkane2022	modern	high
MZLU107469	NSmaland2021	modern	high
MZLU107470	NSmaland2021	modern	high
MZLU107483	NSmaland2021	modern	high
MZLU107486	NSmaland2021	modern	high
MZLU107434	NSmaland2021	modern	high
MZLU107435	NSmaland2021	modern	high
MZLU107436	NSmaland2021	modern	high
MZLU107438	NSmaland2021	modern	high
MZLU107445	Oland2021	modern	high
MZLU107449	Oland2021	modern	high
MZLU107451	Oland2021	modern	high
MZLU107471	Oland2021	modern	high
MZLU107477	Oland2021	modern	high
MZLU107487	Oland2021	modern	high
MZLU107426	SWSkane2021	modern	high
MZLU107439	SWSkane2021	modern	high
MZLU107441	SWSkane2021	modern	high
MZLU107443	SWSkane2021	modern	high
MZLU107468	SWSkane2021	modern	high
MZLU107475	SWSkane2021	modern	high
MZLU107480	SWSkane2021	modern	high
