sample	population	time	depth
MZLULEP3679	WSkane1934	historical	low
MZLULEP4538	WSkane1934	historical	low
MZLULEP3661	WSkane1934	historical	low
MZLULEP4316	WSkane1934	historical	low
MZLULEP3656	WSkane1934	historical	low
MZLULEP3668	WSkane1934	historical	low
MZLULEP4555	WSkane1934	historical	low
MZLULEP1709	WSkane1934	historical	low
MZLULEP1710	WSkane1934	historical	low
MZLULEP1824	WSkane1934	historical	low
MZLULEP1911	WSkane1934	historical	low
MZLULEP3313	Oland1940	historical	low
MZLULEP3259	Oland1940	historical	low
MZLULEP3256	Oland1940	historical	low
MZLULEP3133	Oland1940	historical	low
MZLULEP3328	Oland1940	historical	low
MZLULEP3088	Oland1940	historical	low
MZLULEP3086	Oland1940	historical	low
MZLULEP3149	Oland1940	historical	low
MZLULEP3266	Oland1940	historical	low
MZLULEP3026	Oland1940	historical	low
MZLULEP3029	Oland1940	historical	low
MZLULEP1730	ESkane1934	historical	low
MZLULEP1661	ESkane1934	historical	low
MZLULEP1903	ESkane1934	historical	low
MZLULEP1724	ESkane1934	historical	low
MZLULEP1748	ESkane1934	historical	low
MZLULEP1868	ESkane1934	historical	low
#MZLULEP1704	NSmaland1935	historical	low
#MZLULEP1811	NSmaland1935	historical	low
#MZLULEP1849	NSmaland1935	historical	low
PI028	WSkane2020	modern	high
PI029	WSkane2020	modern	high
PI030	WSkane2020	modern	high
PI031	WSkane2020	modern	high
PI032	WSkane2020	modern	high
PI033	WSkane2020	modern	high
PI034	WSkane2020	modern	high
PI035	WSkane2020	modern	high
PI036	WSkane2020	modern	high
PI413	Oland2020	modern	high
PI414	Oland2020	modern	high
PI415	Oland2020	modern	high
PI417	Oland2020	modern	high
PI418	Oland2020	modern	high
PI419	Oland2020	modern	high
PI420	Oland2020	modern	high
PI421	Oland2020	modern	high
PI422	Oland2020	modern	high
PI200	ESkane2020	modern	high
PI201	ESkane2020	modern	high
PI202	ESkane2020	modern	high
PI203	ESkane2020	modern	high
PI204	ESkane2020	modern	high
PI205	ESkane2020	modern	high
PI206	ESkane2020	modern	high
PI207	ESkane2020	modern	high
PI208	ESkane2020	modern	high
#POIC0917	NSmaland2021	modern	medium
#POIC0918	NSmaland2021	modern	medium
#POIC0919	NSmaland2021	modern	medium
#POIC0920	NSmaland2021	modern	medium
#POIC0921	NSmaland2021	modern	medium
#POIC0922	NSmaland2021	modern	medium
#POIC0923	NSmaland2021	modern	medium
#POIC0924	NSmaland2021	modern	medium
