sample	population	time	depth
MZLULEP3679-out	WSkane1934	historical	low
MZLULEP4538-out	WSkane1934	historical	low
MZLULEP3661-out	WSkane1934	historical	low
MZLULEP4316-out	WSkane1934	historical	low
MZLULEP3656-out	WSkane1934	historical	low
MZLULEP3668-out	WSkane1934	historical	low
MZLULEP4555-out	WSkane1934	historical	low
MZLULEP1709-out	WSkane1934	historical	low
MZLULEP1710-out	WSkane1934	historical	low
MZLULEP1824-out	WSkane1934	historical	low
MZLULEP1911-out	WSkane1934	historical	low
MZLULEP3313-out	Oland1940	historical	low
MZLULEP3259-out	Oland1940	historical	low
MZLULEP3256-out	Oland1940	historical	low
MZLULEP3133-out	Oland1940	historical	low
MZLULEP3328-out	Oland1940	historical	low
MZLULEP3088-out	Oland1940	historical	low
MZLULEP3086-out	Oland1940	historical	low
MZLULEP3149-out	Oland1940	historical	low
MZLULEP3266-out	Oland1940	historical	low
MZLULEP3026-out	Oland1940	historical	low
MZLULEP3029-out	Oland1940	historical	low
MZLULEP1730-out	ESkane1934	historical	low
MZLULEP1661-out	ESkane1934	historical	low
MZLULEP1903-out	ESkane1934	historical	low
MZLULEP1724-out	ESkane1934	historical	low
MZLULEP1748-out	ESkane1934	historical	low
MZLULEP1868-out	ESkane1934	historical	low
PI028-out	WSkane2020	modern	high
PI029-out	WSkane2020	modern	high
PI030-out	WSkane2020	modern	high
PI031-out	WSkane2020	modern	high
PI032-out	WSkane2020	modern	high
PI033-out	WSkane2020	modern	high
PI034-out	WSkane2020	modern	high
PI035-out	WSkane2020	modern	high
PI036-out	WSkane2020	modern	high
PI413-out	Oland2020	modern	high
PI414-out	Oland2020	modern	high
PI415-out	Oland2020	modern	high
PI417-out	Oland2020	modern	high
PI418-out	Oland2020	modern	high
PI419-out	Oland2020	modern	high
PI420-out	Oland2020	modern	high
PI421-out	Oland2020	modern	high
PI422-out	Oland2020	modern	high
PI200-out	ESkane2020	modern	high
PI201-out	ESkane2020	modern	high
PI202-out	ESkane2020	modern	high
PI203-out	ESkane2020	modern	high
PI204-out	ESkane2020	modern	high
PI205-out	ESkane2020	modern	high
PI206-out	ESkane2020	modern	high
PI207-out	ESkane2020	modern	high
PI208-out	ESkane2020	modern	high
