sample	unit	lib	platform	fq1	fq2	bam
PI028	AHVF57DSXY.4	UD261	ILLUMINA	../data/fastq_raw/P19606_101_S66_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_101_S66_L004_R2_001.fastq.gz	results/mapping/bams/PI028.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI029	AHVF57DSXY.4	UD262	ILLUMINA	../data/fastq_raw/P19606_102_S67_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_102_S67_L004_R2_001.fastq.gz	results/mapping/bams/PI029.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI030	AHVF57DSXY.4	UD263	ILLUMINA	../data/fastq_raw/P19606_103_S68_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_103_S68_L004_R2_001.fastq.gz	results/mapping/bams/PI030.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI031	AHVF57DSXY.4	UD264	ILLUMINA	../data/fastq_raw/P19606_104_S69_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_104_S69_L004_R2_001.fastq.gz	results/mapping/bams/PI031.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI032	AHVF57DSXY.4	UD265	ILLUMINA	../data/fastq_raw/P19606_105_S70_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_105_S70_L004_R2_001.fastq.gz	results/mapping/bams/PI032.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI033	AHVF57DSXY.4	UD266	ILLUMINA	../data/fastq_raw/P19606_106_S71_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_106_S71_L004_R2_001.fastq.gz	results/mapping/bams/PI033.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI034	AHVF57DSXY.4	UD267	ILLUMINA	../data/fastq_raw/P19606_107_S72_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_107_S72_L004_R2_001.fastq.gz	results/mapping/bams/PI034.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI035	AHVF57DSXY.4	UD268	ILLUMINA	../data/fastq_raw/P19606_108_S73_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_108_S73_L004_R2_001.fastq.gz	results/mapping/bams/PI035.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI036	AHVF57DSXY.4	UD269	ILLUMINA	../data/fastq_raw/P19606_109_S74_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_109_S74_L004_R2_001.fastq.gz	results/mapping/bams/PI036.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI200	AHVF57DSXY.4	UD279	ILLUMINA	../data/fastq_raw/P19606_119_S84_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_119_S84_L004_R2_001.fastq.gz	results/mapping/bams/PI200.ilPolIcar1.1.vg.paired.rmdup.clip.bam
