sample	unit	lib	platform	fq1	fq2
MZLU107454	AHW5NGDSX2.3	UDP0043	ILLUMINA	../data/fastq_raw/P23564_143_S52_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_143_S52_L003_R2_001.fastq.gz
MZLU107455	AHW5NGDSX2.3	UDP0044	ILLUMINA	../data/fastq_raw/P23564_144_S53_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_144_S53_L003_R2_001.fastq.gz
MZLU107456	AHW5NGDSX2.3	UDP0045	ILLUMINA	../data/fastq_raw/P23564_145_S54_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_145_S54_L003_R2_001.fastq.gz
MZLU107457	AHW5NGDSX2.3	UDP0046	ILLUMINA	../data/fastq_raw/P23564_146_S55_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_146_S55_L003_R2_001.fastq.gz
MZLU107458	AHW5NGDSX2.3	UDP0047	ILLUMINA	../data/fastq_raw/P23564_147_S56_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_147_S56_L003_R2_001.fastq.gz
MZLU107460	AHW5NGDSX2.3	UDP0049	ILLUMINA	../data/fastq_raw/P23564_149_S58_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_149_S58_L003_R2_001.fastq.gz
MZLU107461	AHW5NGDSX2.3	UDP0050	ILLUMINA	../data/fastq_raw/P23564_150_S59_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_150_S59_L003_R2_001.fastq.gz
MZLU107462	AHW5NGDSX2.3	UDP0051	ILLUMINA	../data/fastq_raw/P23564_151_S60_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_151_S60_L003_R2_001.fastq.gz
MZLU107463	AHW5NGDSX2.3	UDP0052	ILLUMINA	../data/fastq_raw/P23564_152_S61_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_152_S61_L003_R2_001.fastq.gz
MZLU107464	AHW5NGDSX2.3	UDP0053	ILLUMINA	../data/fastq_raw/P23564_153_S62_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_153_S62_L003_R2_001.fastq.gz
MZLU107465	AHW5NGDSX2.3	UDP0054	ILLUMINA	../data/fastq_raw/P23564_154_S63_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_154_S63_L003_R2_001.fastq.gz
MZLU107466	AHW5NGDSX2.3	UDP0055	ILLUMINA	../data/fastq_raw/P23564_155_S64_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_155_S64_L003_R2_001.fastq.gz
MZLU107497	AHW5NGDSX2.3	UDP0084	ILLUMINA	../data/fastq_raw/P23564_184_S93_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_184_S93_L003_R2_001.fastq.gz
MZLU107498	AHW5NGDSX2.3	UDP0085	ILLUMINA	../data/fastq_raw/P23564_185_S94_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_185_S94_L003_R2_001.fastq.gz
MZLU107499	AHW5NGDSX2.3	UDP0086	ILLUMINA	../data/fastq_raw/P23564_186_S95_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_186_S95_L003_R2_001.fastq.gz
MZLU107500	AHW5NGDSX2.3	UDP0087	ILLUMINA	../data/fastq_raw/P23564_187_S96_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_187_S96_L003_R2_001.fastq.gz
MZLU107501	AHW5NGDSX2.3	UDP0088	ILLUMINA	../data/fastq_raw/P23564_188_S97_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_188_S97_L003_R2_001.fastq.gz
MZLU107503	AHW5NGDSX2.3	UDP0090	ILLUMINA	../data/fastq_raw/P23564_190_S99_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_190_S99_L003_R2_001.fastq.gz
MZLU107504	AHW5NGDSX2.3	UDP0091	ILLUMINA	../data/fastq_raw/P23564_191_S100_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_191_S100_L003_R2_001.fastq.gz
MZLU107505	AHW5NGDSX2.3	UDP0092	ILLUMINA	../data/fastq_raw/P23564_192_S101_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_192_S101_L003_R2_001.fastq.gz
MZLU107506	AHW5NGDSX2.3	UDP0093	ILLUMINA	../data/fastq_raw/P23564_193_S102_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_193_S102_L003_R2_001.fastq.gz
MZLU107507	AHW5NGDSX2.3	UDP0094	ILLUMINA	../data/fastq_raw/P23564_194_S103_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_194_S103_L003_R2_001.fastq.gz
CYSE0226	BHVYLHDSX3.1	UDP0300	ILLUMINA	../data/fastq_raw/P27468_112_S12_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_112_S12_L001_R2_001.fastq.gz
CYSE0231	BHVYLHDSX3.1	UDP0301	ILLUMINA	../data/fastq_raw/P27468_113_S13_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_113_S13_L001_R2_001.fastq.gz
CYSE0078	BHVYLHDSX3.1	UDP0302	ILLUMINA	../data/fastq_raw/P27468_114_S14_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_114_S14_L001_R2_001.fastq.gz
CYSE0094	BHVYLHDSX3.1	UDP0304	ILLUMINA	../data/fastq_raw/P27468_116_S16_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_116_S16_L001_R2_001.fastq.gz
CYSE0096	BHVYLHDSX3.1	UDP0305	ILLUMINA	../data/fastq_raw/P27468_117_S17_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_117_S17_L001_R2_001.fastq.gz
CYSE0098	BHVYLHDSX3.1	UDP0306	ILLUMINA	../data/fastq_raw/P27468_118_S18_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_118_S18_L001_R2_001.fastq.gz
CYSE0116	BHVYLHDSX3.1	UDP0307	ILLUMINA	../data/fastq_raw/P27468_119_S19_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_119_S19_L001_R2_001.fastq.gz
CYSE0198	BHVYLHDSX3.1	UDP0308	ILLUMINA	../data/fastq_raw/P27468_120_S20_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_120_S20_L001_R2_001.fastq.gz
CYSE0199	BHVYLHDSX3.1	UDP0309	ILLUMINA	../data/fastq_raw/P27468_121_S21_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_121_S21_L001_R2_001.fastq.gz
