sample	unit	lib	platform	fq1	fq2
PI028-out	AHVF57DSXY.4	UD261	ILLUMINA	../data/fastq_raw/P19606_101_S66_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_101_S66_L004_R2_001.fastq.gz
PI029-out	AHVF57DSXY.4	UD262	ILLUMINA	../data/fastq_raw/P19606_102_S67_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_102_S67_L004_R2_001.fastq.gz
PI030-out	AHVF57DSXY.4	UD263	ILLUMINA	../data/fastq_raw/P19606_103_S68_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_103_S68_L004_R2_001.fastq.gz
PI031-out	AHVF57DSXY.4	UD264	ILLUMINA	../data/fastq_raw/P19606_104_S69_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_104_S69_L004_R2_001.fastq.gz
PI032-out	AHVF57DSXY.4	UD265	ILLUMINA	../data/fastq_raw/P19606_105_S70_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_105_S70_L004_R2_001.fastq.gz
PI033-out	AHVF57DSXY.4	UD266	ILLUMINA	../data/fastq_raw/P19606_106_S71_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_106_S71_L004_R2_001.fastq.gz
PI034-out	AHVF57DSXY.4	UD267	ILLUMINA	../data/fastq_raw/P19606_107_S72_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_107_S72_L004_R2_001.fastq.gz
PI035-out	AHVF57DSXY.4	UD268	ILLUMINA	../data/fastq_raw/P19606_108_S73_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_108_S73_L004_R2_001.fastq.gz
PI036-out	AHVF57DSXY.4	UD269	ILLUMINA	../data/fastq_raw/P19606_109_S74_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_109_S74_L004_R2_001.fastq.gz
PI200-out	AHVF57DSXY.4	UD279	ILLUMINA	../data/fastq_raw/P19606_119_S84_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_119_S84_L004_R2_001.fastq.gz
PI201-out	AHVF57DSXY.4	UD280	ILLUMINA	../data/fastq_raw/P19606_120_S85_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_120_S85_L004_R2_001.fastq.gz
PI202-out	AHVF57DSXY.4	UD281	ILLUMINA	../data/fastq_raw/P19606_121_S86_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_121_S86_L004_R2_001.fastq.gz
PI203-out	AHVF57DSXY.4	UD282	ILLUMINA	../data/fastq_raw/P19606_122_S87_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_122_S87_L004_R2_001.fastq.gz
PI204-out	AHVF57DSXY.4	UD283	ILLUMINA	../data/fastq_raw/P19606_123_S88_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_123_S88_L004_R2_001.fastq.gz
